customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment
175,1026,209,2024-01-26,Sports,1.1,A162,Twitter,71,4.8,Positive
157,1027,376,2024-01-27,Groceries,1.5,A104,Twitter,91,4.6,Negative
121,1028,236,2024-01-28,Electronics,1.2,A189,Twitter,59,3.8,Neutral
188,1029,292,2024-01-29,Sports,1.2,A168,LinkedIn,60,4.4,Positive
148,1030,135,2024-01-30,Sports,4.4,A197,Twitter,92,2.3,Neutral
190,1031,333,2024-01-31,Groceries,3.8,A116,Instagram,81,4.6,Neutral
158,1032,115,2024-02-01,Electronics,2.9,A138,LinkedIn,88,3.5,Positive
141,1033,219,2024-02-02,Groceries,1.4,A151,Twitter,72,1.6,Neutral
191,1034,94,2024-02-03,Electronics,3.0,A104,Facebook,82,2.6,Neutral
159,1035,111,2024-02-04,Books,2.9,A120,Instagram,92,3.6,Positive
179,1036,490,2024-02-05,Clothing,1.7,A106,Facebook,99,4.2,Negative
114,1037,183,2024-02-06,Clothing,2.7,A149,Facebook,51,1.3,Positive
161,1038,333,2024-02-07,Clothing,2.6,A109,Twitter,80,4.3,Neutral
161,1039,77,2024-02-08,Groceries,,A142,LinkedIn,75,4.9,Positive
146,1040,157,2024-02-09,Books,3.5,A163,TikTok,53,4.0,Neutral
161,1041,93,2024-02-10,Electronics,1.2,A154,TikTok,72,2.9,Positive
150,1042,389,2024-02-11,Sports,,A120,Facebook,83,1.4,Positive
154,1043,335,2024-02-12,Electronics,,A189,Twitter,59,3.8,Neutral
163,1044,495,2024-02-13,Sports,3.0,A177,LinkedIn,77,1.4,Positive
102,1045,380,2024-02-14,Electronics,4.4,A194,LinkedIn,89,4.0,Negative
150,1046,177,2024-02-15,Books,3.6,A154,TikTok,72,2.9,Positive
106,1047,397,2024-02-16,Sports,1.7,A113,Facebook,98,2.7,Neutral
120,1048,280,2024-02-17,Groceries,1.3,A100,Instagram,81,4.4,Neutral
172,1049,239,2024-02-18,Electronics,3.6,A189,Facebook,94,3.8,Negative
138,1050,274,2024-02-19,Electronics,1.1,A125,LinkedIn,66,4.7,Positive
117,1051,434,2024-02-20,Sports,3.3,A152,Facebook,95,4.1,Positive
103,1052,426,2024-02-21,Groceries,4.8,A166,TikTok,56,1.5,Neutral
188,1053,332,2024-02-22,Groceries,3.3,A163,TikTok,53,4.0,Neutral
159,1054,495,2024-02-23,Books,2.6,A141,LinkedIn,96,2.8,Neutral
113,1055,170,2024-02-24,Groceries,3.6,A190,Twitter,82,4.8,Neutral
108,1056,165,2024-02-25,Groceries,2.8,A105,Instagram,52,3.6,Neutral
189,1057,282,2024-02-26,Groceries,3.2,A107,Twitter,73,4.2,Positive
152,1058,308,2024-02-27,Clothing,4.8,A160,TikTok,56,2.6,Positive
101,1059,408,2024-02-28,Books,2.5,A155,Instagram,59,1.5,Positive
183,1060,247,2024-02-29,Electronics,4.8,A104,Facebook,82,2.6,Neutral
191,1061,460,2024-03-01,Sports,4.6,A176,Facebook,70,3.3,Negative
159,1062,186,2024-03-02,Electronics,1.8,A100,Twitter,73,4.4,Negative
170,1063,367,2024-03-03,Books,1.3,A180,LinkedIn,98,2.1,Negative
143,1064,214,2024-03-04,Sports,1.4,A185,Facebook,78,2.4,Positive
107,1065,274,2024-03-05,Books,1.1,A116,TikTok,83,1.2,Negative
146,1066,356,2024-03-06,Groceries,1.4,A177,LinkedIn,77,1.4,Positive
134,1067,283,2024-03-07,Sports,3.7,A127,Twitter,57,4.0,Positive
177,1068,221,2024-03-08,Groceries,1.3,A185,TikTok,90,3.4,Neutral
180,1069,201,2024-03-09,Electronics,2.3,A183,TikTok,90,4.1,Positive
135,1070,364,2024-03-10,Electronics,,A190,Twitter,82,4.8,Neutral
149,1071,423,2024-03-11,Sports,1.1,A162,Twitter,71,4.8,Positive
103,1072,209,2024-03-12,Sports,4.3,A163,TikTok,53,4.0,Neutral
101,1073,145,2024-03-13,Books,2.1,A139,Twitter,72,4.0,Negative
105,1074,282,2024-03-14,Books,1.5,A151,TikTok,61,1.3,Neutral
153,1075,229,2024-03-15,Groceries,3.8,A165,LinkedIn,86,1.5,Positive
103,1076,162,2024-03-16,Sports,3.5,A117,LinkedIn,98,3.8,Neutral
153,1077,367,2024-03-17,Electronics,4.5,A109,TikTok,99,2.3,Positive
192,1078,491,2024-03-18,Books,3.9,A121,LinkedIn,74,3.5,Positive
162,1079,101,2024-03-19,Books,4.2,A117,LinkedIn,78,3.9,Neutral
117,1080,317,2024-03-20,Electronics,2.1,A139,Twitter,72,4.0,Negative
189,1081,344,2024-03-21,Books,,A150,Facebook,96,1.6,Positive
143,1082,435,2024-03-22,Groceries,4.0,A118,Facebook,76,3.9,Negative
133,1083,436,2024-03-23,Sports,4.2,A155,Instagram,59,1.5,Positive
173,1084,162,2024-03-24,Electronics,5.0,A113,Facebook,98,2.7,Neutral
161,1085,150,2024-03-25,Sports,2.7,A143,Instagram,68,1.2,Negative
199,1086,162,2024-03-26,Books,2.5,A146,Twitter,69,3.9,Negative
113,1087,489,2024-03-27,Books,4.1,A122,Twitter,77,4.2,Neutral
194,1088,130,2024-03-28,Electronics,2.4,A124,LinkedIn,77,3.2,Positive
147,1089,236,2024-03-29,Groceries,,A180,LinkedIn,98,2.1,Negative
114,1090,162,2024-03-30,Clothing,4.4,A197,LinkedIn,57,2.9,Neutral
171,1091,51,2024-03-31,Electronics,2.7,A100,Twitter,73,4.4,Negative
177,1092,179,2024-04-01,Clothing,4.0,A150,LinkedIn,86,3.6,Neutral
186,1093,269,2024-04-02,Clothing,4.0,A188,TikTok,50,3.6,Positive
161,1094,103,2024-04-03,Groceries,1.4,A106,Facebook,99,4.2,Negative
139,1095,392,2024-04-04,Clothing,4.6,A187,Instagram,71,2.5,Neutral
184,1096,273,2024-04-05,Clothing,3.0,A107,Twitter,73,4.2,Positive
179,1097,274,2024-04-06,Groceries,4.3,A116,TikTok,83,1.2,Negative
181,1098,434,2024-04-07,Clothing,,A160,TikTok,56,2.6,Positive
152,1099,452,2024-04-08,Clothing,4.6,A155,Instagram,84,3.1,Positive
123,1100,175,2024-04-09,Clothing,2.6,A120,Facebook,83,1.4,Positive
125,1101,179,2024-04-10,Electronics,,A150,LinkedIn,86,3.6,Neutral
188,1102,102,2024-04-11,Electronics,4.6,A185,Facebook,78,2.4,Positive
159,1103,221,2024-04-12,Electronics,1.4,A166,Instagram,74,4.3,Neutral
140,1104,267,2024-04-13,Groceries,2.3,A117,LinkedIn,98,3.8,Neutral
128,1105,209,2024-04-14,Books,4.8,A174,Facebook,95,2.9,Neutral
114,1106,247,2024-04-15,Clothing,4.8,A195,LinkedIn,84,3.7,Neutral
144,1107,465,2024-04-16,Clothing,3.3,A139,Twitter,72,4.0,Negative
164,1108,296,2024-04-17,Groceries,3.5,A142,LinkedIn,75,4.9,Positive
188,1109,373,2024-04-18,Clothing,2.8,A133,Twitter,71,4.8,Negative
170,1110,488,2024-04-19,Electronics,,A145,Twitter,92,2.4,Neutral
108,1111,252,2024-04-20,Books,2.3,A149,Facebook,51,1.3,Positive
187,1112,233,2024-04-21,Sports,3.7,A107,Twitter,73,4.2,Positive
100,1113,172,2024-04-22,Clothing,4.0,A103,Instagram,77,2.3,Positive
107,1114,450,2024-04-23,Electronics,4.2,A178,LinkedIn,74,4.9,Positive
187,1115,304,2024-04-24,Sports,4.2,A194,LinkedIn,89,4.0,Negative
162,1116,343,2024-04-25,Books,1.4,A131,LinkedIn,87,3.0,Positive
110,1117,329,2024-04-26,Sports,3.0,A177,LinkedIn,77,1.4,Positive
180,1118,374,2024-04-27,Electronics,1.2,A189,Twitter,59,3.8,Neutral
107,1119,421,2024-04-28,Sports,3.2,A185,TikTok,90,3.4,Neutral
134,1120,147,2024-04-29,Groceries,2.8,A165,LinkedIn,86,1.5,Positive
134,1121,247,2024-04-30,Sports,4.6,A168,LinkedIn,60,4.4,Positive
132,1122,444,2024-05-01,Clothing,2.4,A133,Twitter,72,1.9,Positive
104,1123,289,2024-05-02,Clothing,1.5,A150,LinkedIn,86,3.6,Neutral
140,1124,193,2024-05-03,Groceries,1.6,A147,Twitter,77,1.5,Neutral
127,1125,146,2024-05-04,Electronics,4.0,A150,LinkedIn,86,3.6,Neutral
106,1126,250,2024-05-05,Clothing,3.5,A193,TikTok,69,2.6,Negative
172,1127,173,2024-05-06,Books,1.4,A185,Facebook,78,2.4,Positive
171,1128,236,2024-05-07,Clothing,1.3,A145,Twitter,92,2.4,Neutral
111,1129,375,2024-05-08,Clothing,3.8,A122,Twitter,77,4.2,Neutral
133,1130,398,2024-05-09,Electronics,1.3,A179,Twitter,50,3.0,Negative
132,1131,308,2024-05-10,Sports,4.3,A148,Facebook,75,1.7,Neutral
147,1132,197,2024-05-11,Clothing,3.8,A158,Twitter,83,4.5,Neutral
122,1133,301,2024-05-12,Groceries,1.3,A155,TikTok,96,2.3,Neutral
161,1134,492,2024-05-13,Sports,1.3,A103,Instagram,58,2.7,Negative
187,1135,469,2024-05-14,Books,4.9,A155,Facebook,79,2.4,Positive
136,1136,452,2024-05-15,Electronics,2.5,A150,Facebook,67,3.0,Neutral
198,1137,395,2024-05-16,Books,2.5,A158,Twitter,83,4.5,Neutral
143,1138,196,2024-05-17,Sports,4.3,A166,TikTok,56,1.5,Neutral
185,1139,197,2024-05-18,Sports,4.8,A174,Facebook,95,2.9,Neutral
190,1140,401,2024-05-19,Sports,4.9,A145,Twitter,92,2.4,Neutral
134,1141,248,2024-05-20,Books,4.0,A166,Instagram,74,4.3,Neutral
164,1142,357,2024-05-21,Sports,2.5,A111,Instagram,98,4.1,Negative
198,1143,466,2024-05-22,Books,,A189,TikTok,99,4.1,Neutral
146,1144,473,2024-05-23,Sports,4.1,A124,TikTok,75,4.6,Neutral
177,1145,177,2024-05-24,Groceries,3.2,A117,LinkedIn,78,3.9,Neutral
102,1146,88,2024-05-25,Sports,2.7,A160,LinkedIn,73,2.0,Neutral
100,1147,387,2024-05-26,Books,4.6,A189,Twitter,59,3.8,Neutral
104,1148,409,2024-05-27,Clothing,1.4,A187,Instagram,71,2.5,Neutral
189,1149,178,2024-05-28,Sports,3.0,A152,Facebook,95,4.1,Positive
113,1150,316,2024-05-29,Clothing,1.0,A163,TikTok,96,3.2,Neutral
