customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment
A112,LinkedIn,82,3.4,Negative
A183,TikTok,72,5,Positive
A124,LinkedIn,77,3.2,Positive
A167,TikTok,81,2.9,Negative
A109,TikTok,99,2.3,Positive
A166,TikTok,56,1.5,Neutral
A117,LinkedIn,78,3.9,Neutral
A199,LinkedIn,57,1.8,Positive
A185,TikTok,50,1.5,Negative
A133,Instagram,52,2.7,Positive
A107,Twitter,73,4.2,Positive
A139,Twitter,72,4,Negative
A182,Twitter,57,1.2,Negative
A141,LinkedIn,96,2.8,Neutral
A140,LinkedIn,86,3.1,Negative
A105,Instagram,52,3.6,Neutral
A151,Twitter,82,3.6,Negative
A125,Twitter,77,2.5,Positive
A163,TikTok,96,3.2,Neutral
A197,LinkedIn,57,2.9,Neutral
A158,Twitter,83,4.5,Neutral
A155,Instagram,84,3.1,Positive
A158,Instagram,81,2.8,Positive
A169,Twitter,73,2.6,Positive
A132,LinkedIn,63,3.3,Positive
A152,Instagram,81,4.2,Positive
A121,TikTok,95,3.2,Neutral
A120,Instagram,92,3.6,Positive
A125,LinkedIn,66,4.7,Positive
A116,Twitter,78,1.1,Negative
A189,Twitter,59,3.8,Neutral
A162,Twitter,71,4.8,Positive
A155,TikTok,98,4.8,Positive
